Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.781250,0.794271,0.773438,0.778646,0.002347,2073600
1962-01-03,0.774740,0.774740,0.768229,0.770833,0.002323,1420800
1962-01-04,0.770833,0.777344,0.755208,0.761719,0.002296,1766400
1962-01-05,0.761719,0.763021,0.729167,0.742188,0.002237,2620800
1962-01-08,0.742188,0.742188,0.718750,0.740885,0.002233,2976000
1962-01-09,0.740885,0.751302,0.735677,0.744792,0.002245,2236800
1962-01-10,0.744792,0.752604,0.742188,0.748698,0.002257,1881600
1962-01-11,0.748698,0.750000,0.735677,0.750000,0.002260,1564800
1962-01-12,0.750000,0.751302,0.736979,0.739583,0.002229,1622400
